Date,Open,High,Low,Close,Adj Close,Volume
2021-12-31,94.500000,94.970001,93.900002,94.470001,94.272644,3795700
2022-01-03,95.220001,97.440002,94.750000,96.239998,96.038956,4619800
2022-01-04,98.779999,100.050003,98.089996,99.370003,99.162415,7624100
2022-01-05,99.730003,101.790001,99.290001,99.370003,99.162415,5894700
2022-01-06,100.449997,101.080002,99.419998,99.949997,99.741203,4277000
2022-01-07,99.800003,102.239998,99.769997,101.400002,101.188171,6248300
2022-01-10,101.720001,102.000000,98.940002,99.419998,99.212311,5768700
2022-01-11,100.290001,102.370003,99.970001,101.790001,101.577354,5673900
2022-01-12,101.430000,102.620003,101.379997,102.239998,102.026421,4558500
2022-01-13,102.290001,103.650002,101.800003,102.459999,102.245956,4382500
2022-01-14,101.660004,103.269997,100.910004,103.160004,102.944496,4380300
2022-01-18,102.559998,103.730003,102.160004,102.889999,102.675056,8410600
2022-01-19,102.690002,102.989998,100.470001,100.620003,100.409805,5699000
2022-01-20,100.230003,101.790001,97.970001,98.250000,98.044754,5635500
2022-01-21,97.699997,98.349998,95.860001,96.300003,96.098824,8077400
2022-01-24,94.589996,97.440002,92.290001,96.910004,96.707558,9873300
2022-01-25,91.120003,92.360001,88.300003,91.110001,90.919670,20952000
2022-01-26,91.510002,91.910004,88.050003,89.320000,89.133408,10637200
2022-01-27,90.000000,91.769997,88.070000,89.900002,89.712196,7804600
2022-01-28,89.300003,92.160004,88.849998,92.099998,91.907600,6478600
2022-01-31,91.610001,94.559998,91.029999,94.480003,94.282631,7001600
2022-02-01,95.000000,98.419998,94.750000,97.949997,97.745377,8149200
2022-02-02,97.669998,98.580002,96.160004,98.040001,97.835190,5561400
2022-02-03,97.150002,99.160004,96.550003,98.320000,98.114609,6213300
2022-02-04,97.699997,100.050003,97.639999,99.010002,98.803169,6403600
2022-02-07,99.370003,100.589996,98.500000,99.900002,99.691307,4385700
2022-02-08,99.980003,100.500000,98.629997,99.309998,99.102539,5158400
2022-02-09,100.250000,100.470001,99.120003,99.250000,99.042664,6624200
2022-02-10,98.389999,100.680000,98.000000,98.790001,98.583626,5512900
2022-02-11,99.019997,100.230003,96.169998,96.830002,96.627724,7455500
2022-02-14,96.709999,97.400002,95.559998,96.599998,96.398193,6960800
2022-02-15,97.989998,101.379997,97.949997,100.919998,100.709175,6692400
2022-02-16,100.089996,101.910004,99.889999,101.410004,101.198158,4891100
2022-02-17,100.349998,100.430000,97.879997,98.459999,98.254318,3881000
2022-02-18,98.419998,98.970001,91.919998,92.690002,92.496376,15644100
2022-02-22,92.639999,95.220001,92.370003,94.150002,93.953316,7694100
2022-02-23,93.790001,94.860001,92.309998,92.650002,92.456451,7376500
2022-02-24,90.589996,93.089996,87.699997,92.540001,92.346680,11392400
2022-02-25,93.410004,97.419998,93.059998,96.370003,96.168678,6972500
2022-02-28,94.760002,95.820000,94.129997,95.510002,95.310478,6319100
2022-03-01,94.959999,96.059998,91.870003,92.330002,92.137123,6732500
2022-03-02,93.459999,94.949997,93.080002,94.160004,93.963303,4442800
2022-03-03,94.940002,95.300003,91.980003,92.449997,92.256866,4622900
2022-03-04,90.220001,90.480003,87.519997,89.139999,88.953789,8438800
2022-03-07,88.669998,89.209999,85.290001,85.379997,85.278168,7120100
2022-03-08,87.029999,90.449997,85.550003,88.150002,88.044868,6857100
2022-03-09,91.459999,92.989998,91.099998,91.250000,91.141174,6475800
2022-03-10,87.769997,91.599998,87.449997,91.330002,91.221077,8115500
2022-03-11,92.800003,93.620003,91.660004,92.279999,92.169945,7066400
2022-03-14,92.440002,93.989998,91.940002,92.449997,92.339737,6043600
2022-03-15,93.250000,93.559998,91.260002,92.349998,92.239861,5102400
2022-03-16,93.470001,95.440002,92.739998,94.699997,94.587051,5578700
2022-03-17,94.199997,95.570000,93.309998,95.529999,95.416069,4350100
2022-03-18,95.589996,95.910004,94.559998,95.589996,95.475990,7396600
2022-03-21,94.449997,95.720001,93.650002,94.820000,94.706917,5482100
2022-03-22,95.239998,96.230003,94.599998,94.900002,94.786819,4816100
2022-03-23,94.580002,94.660004,93.510002,93.699997,93.588249,4893300
2022-03-24,94.389999,94.419998,93.650002,94.120003,94.007751,5333800
2022-03-25,94.440002,94.910004,93.410004,94.019997,93.907867,5748800
2022-03-28,93.599998,93.639999,90.720001,92.000000,91.890282,7519400
2022-03-29,93.019997,94.970001,93.019997,94.650002,94.537117,8594400
2022-03-30,93.620003,95.139999,93.300003,94.580002,94.467201,5633600
2022-03-31,93.750000,93.949997,91.470001,91.500000,91.390877,8225700
2022-04-01,92.099998,92.559998,91.110001,92.489998,92.379692,5641300
2022-04-04,92.180000,92.320000,90.900002,92.019997,91.910248,5139600
2022-04-05,91.660004,92.339996,89.910004,90.099998,89.992546,6720800
2022-04-06,89.370003,90.169998,87.820000,89.910004,89.802773,6576700
2022-04-07,89.820000,90.080002,87.089996,89.459999,89.353310,7097200
2022-04-08,89.489998,90.269997,88.620003,89.739998,89.632973,4017200
2022-04-11,89.540001,91.589996,89.029999,89.669998,89.563057,5392300
2022-04-12,90.000000,91.339996,89.300003,90.000000,89.892662,4510800
2022-04-13,90.160004,91.449997,89.989998,90.750000,90.641769,3963800
2022-04-14,91.040001,92.150002,90.629997,90.830002,90.721672,3829400
2022-04-18,90.970001,91.500000,89.900002,90.400002,90.292191,3920000
2022-04-19,90.800003,92.260002,90.800003,91.900002,91.790398,4607100
2022-04-20,92.500000,93.110001,91.250000,91.400002,91.290993,4002500
2022-04-21,92.949997,93.779999,91.430000,91.720001,91.610611,4501500
2022-04-22,90.889999,91.300003,88.980003,89.070000,88.963776,4964000
2022-04-25,88.500000,90.000000,86.580002,89.879997,89.772804,6903400
2022-04-26,84.949997,85.230003,78.410004,80.589996,80.493881,28754900
2022-04-27,80.000000,81.750000,77.870003,78.209999,78.116722,12593200
2022-04-28,78.389999,78.699997,75.849998,77.730003,77.637299,12010100
2022-04-29,77.489998,78.129997,74.349998,74.550003,74.461090,10390100
2022-05-02,74.089996,75.830002,72.610001,75.550003,75.459900,11548300
2022-05-03,76.849998,78.269997,75.980003,77.660004,77.567383,7846900
2022-05-04,78.190002,80.769997,77.220001,80.430000,80.334076,7488500
2022-05-05,79.379997,80.080002,77.559998,78.589996,78.496269,7159400
2022-05-06,78.330002,78.389999,76.190002,78.230003,78.136703,5363700
2022-05-09,76.779999,76.959999,72.540001,72.970001,72.882973,7019100
2022-05-10,74.000000,74.699997,71.139999,73.309998,73.222565,6837100
2022-05-11,73.760002,74.580002,72.059998,72.440002,72.353607,7766000
2022-05-12,71.739998,74.209999,71.169998,73.279999,73.192604,8625300
2022-05-13,74.389999,75.970001,74.150002,75.050003,74.960495,5176900
2022-05-16,74.309998,75.400002,73.730003,74.629997,74.540993,6511500
2022-05-17,76.209999,77.199997,75.790001,76.400002,76.308884,4497300
2022-05-18,75.650002,76.519997,74.820000,75.199997,75.110313,7063300
2022-05-19,75.000000,76.540001,74.449997,75.739998,75.649666,6225700
2022-05-20,76.110001,76.440002,73.269997,75.250000,75.160255,7340800
2022-05-23,76.019997,76.400002,75.010002,75.459999,75.370003,5275400
2022-05-24,74.730003,74.870003,72.059998,74.519997,74.431122,6129100
2022-05-25,73.470001,74.589996,72.620003,74.529999,74.441109,7096000
2022-05-26,75.220001,77.709999,74.699997,77.010002,76.918159,4690300
2022-05-27,77.290001,78.779999,76.989998,78.760002,78.666069,4871900
2022-05-31,77.949997,79.040001,77.760002,78.290001,78.196632,5191000
2022-06-01,79.080002,79.440002,76.690002,77.519997,77.427544,5928000
2022-06-02,78.019997,78.660004,77.169998,78.000000,77.906975,6166100
2022-06-03,76.739998,77.150002,75.669998,76.970001,76.878204,5272600
2022-06-06,77.910004,78.290001,76.769997,77.000000,76.908165,4744100
2022-06-07,76.910004,78.150002,76.169998,78.000000,77.906975,5125800
2022-06-08,76.690002,78.279999,76.519997,77.160004,77.067978,3376000
2022-06-09,76.889999,77.050003,74.750000,74.779999,74.690811,5055500
2022-06-10,73.019997,73.160004,70.739998,71.230003,71.145050,9584900
2022-06-13,69.470001,70.000000,67.139999,67.720001,67.639236,9459400
2022-06-14,67.949997,68.910004,67.529999,68.050003,67.968842,5379700
2022-06-15,68.959999,70.019997,67.800003,69.099998,69.017586,6589400
2022-06-16,67.029999,67.239998,64.849998,65.290001,65.212135,9065300
2022-06-17,65.190002,66.730003,64.540001,66.000000,65.921288,9002200
2022-06-21,67.459999,68.059998,65.709999,65.750000,65.671585,8082000
2022-06-22,64.180000,65.400002,64.169998,64.540001,64.463028,9702300
2022-06-23,64.370003,65.080002,63.080002,64.070000,63.993587,6754300
2022-06-24,64.660004,67.970001,64.419998,67.080002,67.000000,9996300
2022-06-27,67.470001,67.900002,66.139999,66.709999,66.709999,6798300
2022-06-28,67.449997,68.449997,65.360001,65.879997,65.879997,7048700
2022-06-29,65.730003,66.000000,63.279999,63.689999,63.689999,6908200
2022-06-30,62.549999,63.759998,61.759998,63.669998,63.669998,8701900
2022-07-01,63.490002,64.540001,62.209999,63.540001,63.540001,6851600
2022-07-05,61.509998,62.110001,59.930000,62.029999,62.029999,8030600
2022-07-06,61.560001,62.360001,60.730000,61.570000,61.570000,4892300
2022-07-07,62.570000,63.130001,61.939999,63.000000,63.000000,6298800
2022-07-08,62.880001,64.379997,62.200001,63.250000,63.250000,6193300
2022-07-11,62.389999,62.619999,61.419998,61.910000,61.910000,4773800
2022-07-12,61.000000,64.529999,61.000000,63.020000,63.020000,7275900
2022-07-13,62.049999,62.700001,61.209999,62.009998,62.009998,4337300
2022-07-14,61.000000,61.160000,60.000000,61.090000,61.090000,5095900
2022-07-15,62.080002,62.990002,60.990002,62.860001,62.860001,5851200
2022-07-18,64.389999,65.099998,63.330002,63.680000,63.680000,6608900
2022-07-19,64.500000,66.800003,64.480003,66.739998,66.739998,6274200
2022-07-20,66.300003,68.279999,66.050003,67.889999,67.889999,6855700
2022-07-21,67.699997,68.339996,67.099998,68.129997,68.129997,5950500
2022-07-22,68.400002,68.760002,67.839996,68.190002,68.190002,5613000
2022-07-25,67.379997,68.930000,67.029999,68.360001,68.360001,5899100
2022-07-26,69.680000,73.370003,69.150002,71.510002,71.510002,18041100
2022-07-27,72.000000,72.400002,70.099998,71.580002,71.580002,7208400
2022-07-28,74.550003,74.900002,72.910004,73.139999,73.139999,11254000
2022-07-29,73.000000,74.519997,72.430000,73.910004,73.910004,7929700
2022-08-01,73.300003,76.349998,72.690002,75.800003,75.800003,9149200
2022-08-02,75.239998,76.050003,74.320000,74.360001,74.360001,5788200
2022-08-03,74.919998,75.300003,74.059998,74.739998,74.739998,6029800
2022-08-04,74.489998,74.650002,73.559998,73.669998,73.669998,4325400
2022-08-05,73.430000,75.040001,73.199997,74.360001,74.360001,4630000
2022-08-08,75.879997,76.779999,74.860001,75.180000,75.180000,6126400
2022-08-09,75.370003,76.089996,74.870003,74.930000,74.930000,4723400
2022-08-10,76.209999,77.800003,75.910004,77.139999,77.139999,10174800
2022-08-11,78.000000,79.209999,77.959999,78.900002,78.900002,9069800
2022-08-12,79.290001,79.970001,78.559998,79.930000,79.930000,5153500
2022-08-15,79.309998,80.150002,79.080002,79.809998,79.809998,3406100
2022-08-16,79.320000,81.300003,79.139999,81.070000,81.070000,5774500
2022-08-17,80.059998,80.379997,79.260002,79.919998,79.919998,4040300
2022-08-18,79.769997,79.889999,79.010002,79.209999,79.209999,4000400
2022-08-19,78.500000,78.589996,77.269997,77.720001,77.720001,3613700
2022-08-22,76.129997,76.169998,74.360001,74.779999,74.779999,5073400
2022-08-23,74.989998,77.300003,74.919998,76.099998,76.099998,4761400
2022-08-24,76.150002,77.279999,75.879997,76.739998,76.739998,4765700
2022-08-25,77.370003,79.680000,77.309998,78.139999,78.139999,5201700
2022-08-26,78.389999,78.620003,75.209999,75.269997,75.269997,5375900
2022-08-29,74.839996,76.839996,74.279999,76.050003,76.050003,4902400
2022-08-30,76.760002,77.180000,74.330002,75.129997,75.129997,4290300
2022-08-31,75.410004,75.790001,73.360001,73.440002,73.440002,6401000
2022-09-01,73.250000,73.250000,71.430000,73.080002,73.080002,4985500
2022-09-02,73.790001,74.360001,72.110001,72.430000,72.430000,4035600
